id,product_name,category,price,stock_quantity,description,supplier
1,智能手机Pro Max,电子产品,6999.0,500,最新款旗舰手机，配备顶级摄像头和处理器,华为技术有限公司
2,笔记本电脑Ultra,电子产品,8999.0,200,高性能商务笔记本，超长续航,联想集团有限公司
3,无线蓝牙耳机,电子配件,299.0,1000,主动降噪，音质出色,漫步者科技股份有限公司
4,智能手表Sport,穿戴设备,1999.0,300,健康监测，运动追踪,华米科技
5,4K高清显示器,电脑配件,2499.0,150,27英寸IPS屏幕，色彩还原准确,AOC冠捷科技
6,智能手机Pro Max,电子产品,6999.0,500,最新款旗舰手机，配备顶级摄像头和处理器,华为技术有限公司
7,笔记本电脑Ultra,电子产品,8999.0,200,高性能商务笔记本，超长续航,联想集团有限公司
8,无线蓝牙耳机,电子配件,299.0,1000,主动降噪，音质出色,漫步者科技股份有限公司
9,智能手表Sport,穿戴设备,1999.0,300,健康监测，运动追踪,华米科技
10,4K高清显示器,电脑配件,2499.0,150,27英寸IPS屏幕，色彩还原准确,AOC冠捷科技
